,movie_id,title,kafka_id
481,1826.0,Russian Dolls,russian+dolls+2005
482,1834.0,"Murder, My Sweet",murder_+my+sweet+1944
483,1843.0,Dig!,dig+2004
484,1865.0,Pirates of the Caribbean: On Stranger Tides,pirates+of+the+caribbean+on+stranger+tides+2011
485,1873.0,Beyond Rangoon,beyond+rangoon+1995
486,1878.0,Fear and Loathing in Las Vegas,fear+and+loathing+in+las+vegas+1998
487,1879.0,Guess Who's Coming to Dinner,guess+whos+coming+to+dinner+1967
488,1880.0,Red Dawn,red+dawn+1984
489,1883.0,Malcolm X,malcolm+x+1992
490,1884.0,The Ewok Adventure,the+ewok+adventure+1985
491,1888.0,The Fortune Cookie,the+fortune+cookie+1966
492,1890.0,Children of a Lesser God,children+of+a+lesser+god+1986
493,1891.0,The Empire Strikes Back,the+empire+strikes+back+1980
494,1892.0,Return of the Jedi,return+of+the+jedi+1983
495,1893.0,Star Wars: Episode I - The Phantom Menace,star+wars+episode+i+-+the+phantom+menace+1999
496,1894.0,Star Wars: Episode II - Attack of the Clones,star+wars+episode+ii+-+attack+of+the+clones+2002
497,1895.0,Star Wars: Episode III - Revenge of the Sith,star+wars+episode+iii+-+revenge+of+the+sith+2005
498,1900.0,Traffic,traffic+2000
499,1901.0,In Good Company,in+good+company+2004
500,1907.0,The Beach,the+beach+2000
501,1911.0,The 13th Warrior,the+13th+warrior+1999
502,1912.0,Reclaim Your Brain,reclaim+your+brain+2007
503,1913.0,The Sea Inside,the+sea+inside+2004
504,1915.0,"Manta, Manta",manta_+manta+1991
505,1923.0,Twin Peaks: Fire Walk with Me,twin+peaks+fire+walk+with+me+1992
506,1924.0,Superman,superman+1978
507,1930.0,The Amazing Spider-Man,the+amazing+spider-man+2012
508,1933.0,The Others,the+others+2001
509,1934.0,Shakespeare in Love,shakespeare+in+love+1998
510,1938.0,Angel Face,angel+face+1952
511,1941.0,Exodus,exodus+1960
512,1942.0,Bunny Lake Is Missing,bunny+lake+is+missing+1965
513,1949.0,Zodiac,zodiac+2007
514,1954.0,The Butterfly Effect,the+butterfly+effect+2004
515,1966.0,Alexander,alexander+2004
516,1967.0,Ask the Dust,ask+the+dust+2006
